date,name
2024-01-01,New Year's Day
2024-02-09,Lunar New Year
2024-02-10,Lunar New Year
2024-02-11,Lunar New Year
2024-02-12,Lunar New Year (Substitute)
2024-03-01,Samiljeol
2024-04-10,General Election
2024-05-01,Labor Day
2024-05-06,Children's Day (Substitute)
2024-05-15,Buddha's Birthday
2024-06-06,Memorial Day
2024-08-15,Liberation Day
2024-09-16,Chuseok
2024-09-17,Chuseok
2024-09-18,Chuseok
2024-10-03,National Foundation Day
2024-10-09,Hangeul Day
2024-12-25,Christmas Day
2024-12-31,Market Closing Day
2025-01-01,New Year's Day
2025-01-28,Lunar New Year
2025-01-29,Lunar New Year
2025-01-30,Lunar New Year
2025-03-01,Samiljeol
2025-03-03,Samiljeol (Substitute)
2025-05-01,Labor Day
2025-05-05,Children's Day
2025-05-06,Buddha's Birthday
2025-06-06,Memorial Day
2025-08-15,Liberation Day
2025-10-03,National Foundation Day
2025-10-05,Chuseok
2025-10-06,Chuseok
2025-10-07,Chuseok
2025-10-08,Chuseok (Substitute)
2025-10-09,Hangeul Day
2025-12-25,Christmas Day
